AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
84.7,17.68,43.57,72.25,57.0,35.55,56.56,,35.7623,37.14,21.02,13.95,48.25,45.56,119.4,12.075,68.448,118.56,43.13,6.31,86.29,1505.942,45.39,53.87,41.65,10.66,134.61,52.46,186.15,99.3,21.03,25.75,21.45,129.6,9.69,66.71,60.16,18.27,56.07,61.72,44.64,58.65,33.39,23.6,74.65,55.33,92.17,32.12,138.8,49.11,22.7,52.9278,14.07,22.8,95.2843,60.65,12.37,125.47,58.46,82.5
85.13,17.87,43.77,73.7,56.24,36.02,56.12,,36.3013,37.5333,21.41,14.07,48.56,46.06,120.45,11.75,68.93,120.5,43.95,6.3,86.75,1527.123,45.47,54.4,41.22,11.25,139.2,52.68,188.15,101.09,21.32,26.03,21.93,130.35,9.94,67.49,61.71,18.85,56.86,62.01,45.0,58.8,32.88,23.68,76.49,54.82,93.41,32.56,133.482,50.12,22.91,52.363,14.58,22.67,95.4399,61.17,12.99,125.3,60.06,83.49
87.58,17.7,43.57,71.97,54.95,36.77,55.62,,35.3278,36.96,20.9,14.66,48.49,45.675,120.11,11.46,69.47,118.57,43.48,6.12,85.8,1529.141,45.34,53.89,40.78,11.34,138.85,52.23,192.59,101.14,20.47,26.17,21.61,129.06,10.11,67.31,61.44,18.36,56.94,60.66,44.34,58.29,32.45,23.04,74.32,54.7,92.47,32.13,137.649,49.22,22.31,51.8164,14.31,22.45,94.2677,60.22,12.91,124.87,61.38,81.47
89.08,17.52,44.05,72.02,54.73,37.5,55.25,,35.8427,36.1867,20.48,14.6,48.22,45.7,121.31,11.3,70.056,117.5,43.33,6.01,86.33,1583.9,46.24,53.7,40.7,12.17,137.85,51.93,195.56,100.44,20.06,26.57,20.84,130.56,10.26,66.89,60.83,18.25,56.69,60.72,42.93,58.45,32.25,23.53,74.23,53.35,91.98,31.66,137.288,49.44,21.92,51.6798,14.51,22.42,95.0872,60.3,12.45,124.45,63.39,82.32
90.07,17.06,45.33,70.88,54.13,37.5,54.84,,35.4968,35.8267,20.68,14.42,47.52,45.055,120.79,11.01,69.528,115.75,43.01,5.89,86.95,1588.14,45.95,52.89,40.2,12.62,138.34,51.28,196.0,100.1,19.81,26.09,20.34,130.74,10.43,66.86,60.51,17.93,56.45,60.08,42.5,58.59,31.89,23.35,74.02,52.99,91.27,31.41,141.279,48.96,21.38,50.9601,14.66,22.33,95.7823,58.74,12.32,130.5,63.47,81.81
88.4,17.62,45.95,72.82,55.54,36.82,55.15,,35.9312,36.3867,20.88,14.74,47.61,45.81,121.88,11.455,70.216,117.01,44.38,5.99,86.74,1571.229,46.6,53.75,40.15,13.45,137.59,51.88,194.63,101.3,20.41,26.17,20.9,131.75,10.34,67.43,62.33,18.34,56.64,61.25,43.16,58.04,31.99,23.97,74.81,53.59,93.08,32.05,140.241,49.85,21.95,51.7709,14.97,22.69,95.3362,59.92,12.84,133.6,63.41,81.46
84.81,18.13,45.11,73.23,56.19,35.57,55.87,,36.2691,37.14,20.22,14.49,47.86,45.965,122.02,11.525,69.052,117.8,44.06,5.78,87.21,1564.415,46.67,54.56,40.39,13.63,137.5,52.55,192.75,102.06,20.65,26.61,20.98,133.37,9.98,68.1,62.21,18.69,57.0,61.34,45.29,57.21,32.42,23.7,73.86,54.08,93.44,32.38,131.514,50.3,22.1,52.3084,15.19,22.74,95.1702,60.76,12.55,130.56,61.52,82.85
88.69,18.42,46.07,73.85,56.07,36.83,55.97,,37.3553,37.8667,20.05,14.82,47.51,46.35,125.06,11.965,70.948,117.08,44.73,6.01,87.86,1554.542,47.45,55.61,41.73,13.97,136.36,53.14,199.73,102.62,21.04,26.91,22.07,137.34,10.52,68.42,63.37,18.76,57.58,61.93,44.91,57.6,33.86,24.06,75.66,54.92,94.83,33.18,132.516,51.17,23.1,54.103,15.17,23.16,96.5085,60.87,12.88,133.84,64.07,83.3
88.96,18.38,45.52,75.56,56.57,36.6,56.35,,37.8943,38.8333,20.28,15.6,48.88,46.84,126.28,12.16,71.602,120.33,43.59,6.27,89.82,1562.953,48.6,55.54,41.86,13.88,141.95,53.48,200.16,105.02,22.1,27.05,22.5,139.78,10.36,69.36,64.0,18.98,58.26,63.2,45.51,58.11,33.96,24.29,78.6,55.87,95.78,33.93,129.53,51.76,23.37,54.8409,15.23,23.55,97.8882,61.8,12.94,134.84,63.85,85.13
88.33,18.59,45.695,75.5,57.05,36.27,57.22,,37.5645,38.6933,19.99,15.35,48.51,46.955,127.75,11.94,72.92,122.43,43.82,6.2,89.33,1538.235,48.95,55.94,41.93,13.32,138.24,54.1,200.34,104.8,22.7,27.26,22.3,138.64,10.27,69.6,64.34,19.17,58.66,62.85,45.29,57.72,33.68,24.53,78.5,56.71,95.76,34.49,125.55,52.2,23.19,55.2144,15.08,23.88,98.2928,61.8,12.71,135.79,63.53,85.02
